	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
'8	0.2	0.2	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0
'9	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0
'10	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0
11-15	0.3	0.3	0.1	0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.3	0.1	0.1	0.1	0.0	0.3	0.2	0.0
16-20	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0
21-50	0.4	0.1	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.3	0.1	0.0
51-100	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	6067	7398	7451	8508	8463	7429	8066	6969	8297	8312	8387	8362	7981	7746	8343	8350	8618	8245	8242	7621	8372
'2	2632	2266	1752	700	1010	1524	1462	1828	844	1096	894	1016	1208	1260	830	1292	696	894	1236	1438	766
'3	1254	828	597	180	285	636	420	846	204	279	201	273	321	567	213	279	261	249	456	624	183
'4	776	448	348	72	120	332	248	444	64	80	96	164	148	352	76	160	104	108	412	300	96
'5	495	415	210	95	85	290	125	300	85	75	90	100	110	275	75	100	115	115	330	310	65
'6	390	264	234	24	54	204	60	264	66	66	42	54	96	240	54	84	96	48	258	204	12
'7	329	252	119	35	56	175	77	189	21	14	35	70	77	168	14	49	77	49	224	182	42
'8	280	184	176	24	64	144	48	160	24	64	16	24	16	152	24	56	56	40	200	136	24
'9	234	171	63	0	36	162	9	126	9	9	18	45	18	162	9	81	36	9	135	189	54
'10	250	110	100	10	30	150	10	50	20	0	10	30	10	150	10	50	60	30	170	120	10
11-15	621	495	199	23	52	353	154	212	72	35	52	128	131	553	106	174	112	90	579	325	51
16-20	431	355	87	35	35	322	105	180	35	20	74	32	39	379	33	125	86	75	494	214	122
21-50	1684	501	419	22	92	714	149	376	51	105	23	226	156	771	32	179	137	131	1321	332	188
51-100	611	135	0	55	0	51	0	0	0	0	54	0	0	56	0	93	0	0	218	0	0
101-150	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	33.2	50.6	59.2	85.6	80.0	53.5	72.0	49.9	84.3	80.7	83.3	77.5	76.6	56.9	84.1	74.6	81.6	81.0	55.7	59.2	82.7
'2	14.4	15.5	13.9	7.0	9.5	11.0	13.1	13.1	8.6	10.6	8.9	9.4	11.6	9.3	8.4	11.5	6.6	8.8	8.4	11.2	7.6
'3	6.9	5.7	4.7	1.8	2.7	4.6	3.8	6.1	2.1	2.7	2.0	2.5	3.1	4.2	2.1	2.5	2.5	2.4	3.1	4.8	1.8
'4	4.2	3.1	2.8	0.7	1.1	2.4	2.2	3.2	0.7	0.8	1.0	1.5	1.4	2.6	0.8	1.4	1.0	1.1	2.8	2.3	0.9
'5	2.7	2.8	1.7	1.0	0.8	2.1	1.1	2.1	0.9	0.7	0.9	0.9	1.1	2.0	0.8	0.9	1.1	1.1	2.2	2.4	0.6
'6	2.1	1.8	1.9	0.2	0.5	1.5	0.5	1.9	0.7	0.6	0.4	0.5	0.9	1.8	0.5	0.8	0.9	0.5	1.7	1.6	0.1
'7	1.8	1.7	0.9	0.4	0.5	1.3	0.7	1.4	0.2	0.1	0.3	0.6	0.7	1.2	0.1	0.4	0.7	0.5	1.5	1.4	0.4
'8	1.5	1.3	1.4	0.2	0.6	1.0	0.4	1.1	0.2	0.6	0.2	0.2	0.2	1.1	0.2	0.5	0.5	0.4	1.4	1.1	0.2
'9	1.3	1.2	0.5	0.0	0.3	1.2	0.1	0.9	0.1	0.1	0.2	0.4	0.2	1.2	0.1	0.7	0.3	0.1	0.9	1.5	0.5
'10	1.4	0.8	0.8	0.1	0.3	1.1	0.1	0.4	0.2	0.0	0.1	0.3	0.1	1.1	0.1	0.4	0.6	0.3	1.1	0.9	0.1
11-15	3.4	3.4	1.6	0.2	0.5	2.5	1.4	1.5	0.7	0.3	0.5	1.2	1.3	4.1	1.1	1.6	1.1	0.9	3.9	2.5	0.5
16-20	2.4	2.4	0.7	0.4	0.3	2.3	0.9	1.3	0.4	0.2	0.7	0.3	0.4	2.8	0.3	1.1	0.8	0.7	3.3	1.7	1.2
21-50	9.2	3.4	3.3	0.2	0.9	5.1	1.3	2.7	0.5	1.0	0.2	2.1	1.5	5.7	0.3	1.6	1.3	1.3	8.9	2.6	1.9
51-100	3.3	0.9	0.0	0.6	0.0	0.4	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.4	0.0	0.8	0.0	0.0	1.5	0.0	0.0
101-150	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
