Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia	Total
OG0000059	4	9	6	5	4	4	5	7	5	6	4	5	7	4	6	5	5	4	5	4	4	108
OG0000060	4	5	10	5	5	4	6	4	5	5	6	5	5	4	5	8	5	4	5	4	4	108
OG0000061	1	0	0	5	7	0	2	0	2	9	4	4	12	9	8	2	5	3	31	0	4	108
OG0000062	0	12	11	5	7	2	3	6	2	4	5	6	4	5	2	5	4	4	8	8	4	107
OG0000063	24	2	1	0	4	3	3	1	4	4	6	8	7	0	2	8	2	3	17	0	7	106
OG0000064	15	13	8	3	2	8	3	6	2	3	2	3	2	3	1	2	2	3	11	11	3	106
OG0000065	39	2	0	0	0	14	0	1	0	0	0	0	0	22	0	0	0	0	24	2	0	104
OG0000066	22	35	1	0	0	12	3	0	0	0	0	2	6	7	0	4	0	0	11	0	0	103
OG0000067	36	1	0	1	0	1	10	1	1	0	0	4	13	4	2	1	2	5	11	10	0	103
OG0000068	0	0	0	1	9	2	2	0	3	3	3	2	4	19	11	3	2	12	10	0	17	103
OG0000069	13	0	0	0	0	1	1	1	3	0	1	9	2	16	0	14	8	2	24	6	0	101
OG0000070	9	0	0	0	5	5	0	0	2	5	16	14	7	3	2	17	6	0	9	1	0	101
OG0000071	28	16	0	0	0	10	0	0	4	0	1	2	1	8	0	3	2	3	21	1	0	100
OG0000072	4	5	5	5	5	4	5	4	5	5	5	5	5	4	5	5	5	5	4	3	5	98
OG0000073	5	0	0	0	0	2	0	0	10	0	6	23	2	0	1	2	1	7	32	4	3	98
OG0000074	6	3	4	6	2	12	2	4	5	3	2	5	5	4	2	2	3	7	5	12	3	97
OG0000075	49	1	1	1	2	1	1	1	2	3	2	5	2	1	1	3	2	8	5	4	2	97
OG0000076	3	3	4	4	4	10	4	8	3	4	4	4	4	6	4	4	4	2	4	11	2	96
OG0000077	0	0	0	0	0	0	14	0	6	0	1	0	0	15	0	23	9	6	20	0	0	94
OG0000078	0	21	17	1	2	6	1	7	3	1	2	1	1	5	2	3	3	1	6	9	1	93
OG0000079	13	0	4	4	4	7	3	5	3	3	5	5	3	0	3	7	10	3	4	2	2	90
OG0000080	1	9	8	8	3	8	1	6	2	1	1	2	1	8	1	2	1	1	6	19	1	90
OG0000081	5	7	8	2	4	7	3	7	4	3	4	2	3	6	3	3	3	2	2	9	2	89
OG0000082	11	0	0	0	0	1	3	0	0	0	0	2	0	5	0	11	37	0	19	0	0	89
OG0000083	2	0	0	0	3	10	4	0	6	2	5	4	3	14	2	0	2	8	22	1	0	88
OG0000084	0	12	5	1	5	3	3	7	6	3	2	11	6	5	2	4	3	3	4	2	1	88
OG0000085	80	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	87
OG0000086	24	7	1	0	0	2	0	1	0	0	0	0	0	3	0	1	1	1	41	5	0	87
OG0000087	15	0	0	0	0	0	0	0	0	0	0	0	2	20	0	4	0	0	44	1	0	86
OG0000088	8	5	3	2	3	3	3	5	3	3	4	12	3	2	3	3	4	3	3	4	5	84
OG0000089	1	0	0	4	15	0	3	0	2	1	1	7	2	5	5	7	7	5	14	0	5	84
OG0000090	0	9	6	4	4	2	3	6	4	4	4	4	4	2	4	4	4	5	4	2	5	84
