ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
97	46,31,32,30	2,0,0,0	53,50,41,30	2,1,0,0	156	99
98	46,31,32,30	2,0,0,1	53,51,41,30	2,0,3,0	159	99
99	2,3,0,2	0,0,0,0	3,1,4,3	1,0,0,0	330	99
100	3,2,1,1	0,1,0,0	5,6,4,1	0,0,0,0	180	99
101	4,4,1,2	1,0,0,0	6,6,4,1	0,0,0,0	222	99
102	10,10,2,2	5,0,1,1	8,2,7,7	7,0,1,1	258	99
104	3,4,3,2	8,4,7,5	4,1,1,8	5,1,4,5	173	99
105	3,1,0,2	1,1,0,0	4,3,3,3	1,0,0,0	174	99
106	84,70,49,37	4,1,1,0	99,43,56,91	1,0,4,1	202	99
107	0,0,2,0	1,1,1,0	2,0,2,1	3,2,2,0	159	99
109	81,42,44,38	27,15,12,19	70,52,36,74	27,14,7,23	402	99
111	21,12,16,7	0,0,1,0	22,4,11,13	0,0,0,0	270	99
113	3,4,0,1	0,0,0,0	7,0,1,0	0,0,1,0	213	99
114	2,0,0,0	0,0,1,0	3,0,1,0	1,0,0,0	148	99
115	3,4,0,1	0,0,0,0	7,0,1,0	1,1,0,0	224	99
117	0,3,4,2	1,0,1,0	10,6,1,6	1,3,1,0	713	99
119	36,19,22,27	0,0,2,0	18,13,27,17	1,0,0,0	786	99
120	4,2,2,6	0,2,0,0	6,4,3,8	4,0,0,0	161	99
121	22,24,22,13	9,1,2,4	32,28,26,26	4,6,6,3	213	99
122	42,38,40,19	4,2,0,0	50,36,36,40	1,0,0,0	277	99
123	39,15,6,14	5,0,5,2	22,12,30,15	5,2,5,0	1621	99
124	5,1,1,1	25,12,9,9	4,1,3,7	14,11,18,10	183	99
126	2,0,0,0	0,0,0,0	0,2,0,2	0,0,0,2	239	99
127	7,2,3,4	1,0,0,0	12,4,11,9	1,0,0,0	654	99
128	3,1,1,2	0,0,0,0	2,1,5,4	0,0,1,0	340	99
130	9,7,9,10	0,1,1,1	11,10,13,5	0,0,2,0	275	99
131	9,6,7,9	6,3,2,5	8,8,12,4	4,4,4,3	260	99
133	79,40,37,22	2,1,0,0	62,57,32,32	4,6,5,0	184	99
134	52,33,30,19	1,1,0,1	41,27,27,34	3,0,0,0	180	99
135	64,43,32,24	13,2,4,2	51,36,35,43	11,7,6,4	234	99
136	69,21,36,20	4,2,2,2	57,27,29,48	2,5,0,1	187	99
137	391,218,237,205	2,0,0,0	375,202,193,275	1,0,0,0	605	99
138	47,9,11,9	0,0,1,0	43,19,7,16	0,1,0,1	159	99
139	8,4,3,3	131,69,78,54	5,1,3,4	115,68,53,76	183	99
140	0,0,0,0	2,0,0,0	0,0,0,1	0,0,0,0	161	99
141	9,10,2,4	0,1,0,3	4,4,2,3	1,1,1,0	172	99
142	42,20,15,16	2,0,3,3	40,18,22,19	3,0,0,1	174	99
143	6,2,2,3	0,1,0,1	1,4,2,3	0,1,0,0	181	99
145	8,6,6,4	0,0,0,4	7,11,4,6	6,0,0,2	194	99
146	5,5,3,4	1,0,1,0	3,3,3,1	0,0,0,1	177	99
147	117,59,75,64	17,5,6,5	75,46,106,105	6,4,4,4	738	99
148	36,33,30,20	5,3,5,0	51,28,16,25	3,1,2,0	162	99
149	15,12,16,15	0,1,1,0	32,9,9,27	4,1,3,2	169	99
150	5,3,5,2	0,1,0,0	3,10,3,6	2,1,0,0	579	99
151	5,3,5,2	0,0,0,1	3,10,3,6	0,0,0,0	569	99
152	39,20,19,17	8,6,9,2	24,29,29,22	17,8,9,9	174	99
153	44,47,29,27	1,1,0,0	48,45,32,56	1,0,1,0	969	99
154	21,11,4,9	3,0,1,2	18,7,6,7	3,0,0,1	199	99
155	134,101,72,65	2,3,1,0	147,96,73,103	2,1,0,0	1610	99
156	83,48,42,38	4,1,2,5	88,42,38,42	3,4,3,5	538	99
157	25,23,15,12	5,1,1,0	35,18,11,20	4,3,0,0	185	99
163	8,5,4,4	5,3,4,1	13,6,1,3	4,2,1,2	221	99
164	8,2,3,1	2,1,0,1	9,2,0,2	1,2,2,0	179	99
165	59,37,26,26	0,0,1,0	62,33,44,38	1,0,1,0	391	99
166	0,0,0,0	1,0,0,0	4,0,0,0	0,0,0,0	183	99
168	19,6,9,6	2,2,2,0	13,5,13,7	1,1,0,1	229	99
169	55,28,26,23	2,2,1,2	40,18,28,29	2,1,3,1	313	99
170	61,36,27,21	2,2,2,3	32,27,38,22	6,0,2,2	173	99
171	62,38,27,21	3,1,1,0	33,27,38,22	3,1,2,3	180	99
172	96,51,48,25	3,0,0,0	90,42,33,45	6,1,0,0	165	99
174	9,6,4,1	0,1,0,0	4,5,10,12	0,1,0,1	180	99
175	11,2,5,5	13,3,4,2	8,7,7,5	11,7,8,5	171	99
176	68,27,43,30	0,0,0,0	65,35,48,21	0,0,0,1	891	99
177	27,11,17,7	1,0,0,0	26,16,22,5	0,0,0,0	374	99
178	70,31,33,38	3,2,1,1	67,51,34,65	6,5,3,2	366	99
179	38,14,14,12	4,0,1,3	45,33,41,22	2,2,0,1	750	99
180	22,11,13,4	2,1,0,1	32,19,33,15	2,1,4,1	615	99
181	4,6,9,3	0,0,1,0	12,10,20,11	0,0,0,0	374	99
182	205,67,106,97	1,0,1,0	200,134,83,126	1,1,0,0	792	99
183	157,48,77,68	0,0,1,1	142,93,60,98	2,0,0,0	620	99
184	99,33,53,44	9,6,4,3	89,63,43,73	3,9,3,7	491	99
185	38,21,18,17	1,0,1,3	33,19,17,23	4,1,1,3	192	99
186	276,113,144,127	1,0,0,0	301,182,131,172	1,1,0,0	1019	99
187	170,79,91,74	5,1,4,6	190,111,91,119	7,1,3,1	718	99
188	109,67,56,47	1,0,1,0	134,67,65,69	4,0,2,0	419	99
189	50,29,38,15	1,0,0,0	54,34,19,30	0,0,0,0	706	99
190	26,17,19,19	57,27,39,16	40,26,34,35	43,20,24,30	185	99
191	103,63,80,54	2,1,4,1	115,70,90,87	5,1,0,0	415	99
192	99,56,73,50	0,2,0,0	102,62,81,78	1,0,0,0	386	99
193	1,0,2,0	0,0,0,0	1,0,0,1	0,0,1,0	185	99
194	333,194,198,179	8,5,1,1	367,194,241,279	5,0,5,4	255	99
195	188,109,97,61	11,5,1,1	140,48,59,93	7,1,5,7	669	99
196	211,117,107,69	27,11,12,10	160,53,66,98	21,11,13,9	708	99
197	4,1,4,0	2,2,2,0	2,0,2,2	0,0,2,1	217	99
198	27,21,15,16	0,0,0,0	50,32,25,34	0,0,1,0	3349	99
199	6,2,1,3	1,0,0,0	2,12,4,3	0,2,0,1	219	99
200	2,1,0,2	1,1,0,0	0,3,2,1	0,0,1,0	179	99
201	0,1,0,1	1,1,0,0	0,3,2,1	0,0,0,0	158	99
202	4,4,3,4	2,1,0,1	11,10,5,9	4,3,1,0	519	99
203	0,1,2,0	17,10,9,7	3,0,0,1	20,6,6,4	174	99
204	85,71,68,64	0,1,1,2	86,86,106,78	0,1,4,0	351	99
205	1,1,1,1	72,58,74,32	2,3,0,1	76,50,25,49	177	99
206	25,16,15,21	1,1,2,0	29,29,24,19	0,0,0,0	215	99
207	1023,647,638,560	1,1,0,0	899,528,674,647	1,0,0,0	1015	99
209	0,7,4,2	1,0,0,0	3,3,2,2	1,0,0,0	383	99
210	7,2,5,6	1,0,0,0	1,4,4,3	2,0,2,0	201	99
211	1,0,4,2	0,0,0,2	5,2,2,4	0,0,1,0	376	99
215	24,13,12,10	0,0,1,0	15,11,5,13	1,0,0,1	262	99
216	15,10,17,10	3,2,3,1	26,13,9,19	0,1,0,2	217	99
217	4,4,2,0	1,0,1,0	12,3,1,7	2,0,1,0	194	99
218	9,3,2,3	3,2,0,0	8,6,5,3	1,0,0,1	183	99
220	4,0,1,0	5,2,2,0	1,1,1,4	1,4,1,0	184	99
221	5,0,4,1	0,0,0,1	8,7,0,7	0,0,1,0	167	99
222	47,20,36,18	0,0,2,0	35,26,26,15	0,0,1,2	419	99
224	22,9,13,14	4,2,3,1	23,13,11,11	6,2,1,4	213	99
225	7,2,2,1	7,4,8,2	7,7,2,8	9,2,2,5	169	99
226	1,2,5,2	25,12,9,11	1,4,4,4	30,14,4,8	171	99
227	124,79,100,61	4,2,2,0	152,57,81,94	7,3,3,4	300	99
228	3,2,3,2	0,0,0,0	5,1,3,6	1,0,0,0	157	99
229	10,1,2,4	1,0,1,1	6,4,0,6	1,0,1,1	190	99
230	22,7,2,5	0,1,0,0	16,6,7,4	0,0,1,0	184	99
231	4,0,0,1	0,5,2,1	0,2,2,4	2,0,0,0	162	99
232	4,5,4,0	7,3,4,3	8,2,2,9	3,2,2,2	238	99
234	0,0,0,0	1,0,0,0	2,1,1,0	0,0,0,0	190	99
235	5,6,2,3	0,1,0,0	12,2,5,3	1,1,0,0	168	99
236	8,4,3,1	1,1,0,1	12,2,2,7	0,0,0,1	209	99
237	3,1,2,0	2,1,2,1	3,4,5,2	3,0,0,0	163	99
238	14,7,13,2	0,1,0,0	10,10,12,8	0,0,0,0	408	99
239	0,1,0,4	10,5,3,4	3,1,5,4	9,12,1,3	186	99
240	4,1,3,0	1,0,1,0	8,1,9,5	4,0,0,0	176	99
241	40,22,31,8	1,2,0,2	46,21,28,22	5,1,2,3	198	99
242	1,3,2,1	0,0,0,0	4,1,0,1	0,0,0,1	177	99
244	335,170,160,128	4,4,0,6	279,174,168,161	4,3,2,3	184	99
245	401,208,200,155	45,28,22,13	329,201,209,191	47,28,28,24	230	99
247	0,0,0,2	3,0,0,0	0,1,0,1	2,0,3,0	179	99
248	8,12,5,4	2,0,0,1	6,4,6,6	3,0,0,1	162	99
249	1,1,1,0	14,7,12,2	1,1,2,0	10,1,6,4	177	99
252	69,50,36,24	1,1,0,0	51,37,29,28	3,2,3,1	178	99
253	91,31,45,32	5,1,2,8	72,54,44,56	4,4,4,3	171	99
254	42,17,24,16	0,1,0,0	36,20,16,23	0,0,1,0	193	99
255	88,42,45,37	1,0,0,0	65,45,34,45	0,0,0,0	523	99
256	16,5,13,7	0,2,0,0	20,8,3,8	1,0,0,0	173	99
257	1,0,0,0	0,0,0,0	0,0,0,0	1,0,0,0	187	99
259	69,32,47,25	0,0,0,0	48,30,28,37	0,1,0,0	255	99
260	6,12,3,1	36,24,18,12	5,6,3,0	30,19,27,23	186	99
261	63,26,30,28	1,2,0,2	50,34,25,44	3,0,3,3	168	99
262	112,72,46,47	1,2,2,2	94,70,71,83	11,6,1,2	330	99
263	46,30,36,21	27,20,14,14	21,17,21,19	23,10,16,14	241	99
264	168,112,82,46	0,0,0,0	192,151,124,127	0,1,0,0	1472	99
265	40,33,33,28	26,4,9,6	31,16,12,21	18,18,8,19	186	99
266	36,32,33,28	16,11,4,9	31,14,12,20	16,5,5,6	183	99
267	23,23,21,21	1,0,0,0	22,9,10,16	1,1,0,0	155	99
268	130,69,84,60	9,6,5,7	141,87,77,87	8,9,4,6	189	99
269	34,14,11,12	17,9,15,9	27,5,6,11	18,11,11,5	342	99
270	23,9,11,9	10,8,8,5	15,9,3,15	13,6,3,4	217	99
271	12,13,4,4	0,3,1,0	14,16,14,6	1,2,1,0	158	99
272	173,101,94,99	2,1,4,3	166,79,77,122	3,4,2,1	165	99
273	143,60,66,39	25,18,19,8	97,38,62,75	18,12,11,17	169	99
274	142,72,71,47	5,5,1,0	111,49,65,67	1,3,1,2	237	99
275	17,5,8,8	2,2,1,2	11,14,8,11	1,3,3,4	228	99
276	175,99,103,80	1,2,0,1	162,111,73,124	1,1,1,1	423	99
277	45,28,25,9	0,0,0,0	40,19,25,23	1,1,0,0	176	99
278	69,31,45,44	7,4,8,3	64,35,43,37	10,3,2,3	171	99
279	27,4,4,4	1,0,0,0	16,11,5,3	1,2,1,0	162	99
281	61,27,26,17	1,0,1,1	48,25,35,27	2,5,1,1	175	99
282	61,26,19,23	0,0,1,0	45,23,29,19	0,1,1,0	180	99
283	38,18,18,12	17,9,5,8	36,24,18,10	14,7,16,9	171	99
284	1137,671,730,542	994,506,575,439	1519,969,1027,987	1038,708,769,633	186	99
285	26,5,18,5	0,2,0,0	13,3,10,12	2,1,0,0	143	99
286	0,1,0,0	1,0,0,0	1,1,0,0	0,2,0,0	273	99
287	17,12,10,8	4,1,2,2	13,4,9,9	6,2,2,1	176	99
288	34,18,24,20	9,3,5,4	37,9,18,12	11,2,4,0	204	99
289	6,3,1,0	0,0,0,1	1,7,9,1	0,0,0,0	180	99
291	0,0,0,0	0,3,2,5	0,0,0,1	14,4,0,4	168	99
292	0,1,0,2	1,0,1,1	3,4,2,3	0,1,0,2	393	99
293	1,6,1,2	5,4,6,2	0,2,2,1	13,3,8,2	174	99
294	38,19,14,13	4,2,1,2	28,20,18,24	9,3,3,4	164	99
295	13,8,5,4	0,1,1,0	14,6,8,5	0,1,0,1	210	99
296	73,45,68,22	6,1,3,0	53,33,26,53	7,0,1,4	210	99
297	1,2,0,0	38,24,24,8	1,1,2,2	40,21,19,22	159	99
298	48,31,37,19	4,2,0,0	52,36,36,40	1,0,1,0	195	99
299	22,22,13,16	0,1,0,0	32,16,13,20	0,0,0,0	675	99
301	24,24,17,18	0,0,0,0	37,22,13,25	1,0,0,1	737	99
302	24,24,17,17	4,0,1,4	37,21,13,25	1,1,2,3	733	99
303	88,36,46,36	5,1,2,2	82,37,38,56	5,2,1,2	156	99
304	20,19,14,6	8,6,10,3	16,11,9,13	16,7,3,8	163	99
305	12,2,6,8	5,5,1,1	11,5,6,5	7,2,2,6	315	99
306	14,3,9,8	0,0,1,0	16,14,13,16	0,1,2,0	174	99
307	18,13,4,11	0,0,0,1	16,16,10,14	0,0,0,1	459	99
312	55,31,22,32	1,1,3,0	52,60,45,53	1,1,1,0	1218	99
314	25,9,11,11	0,1,0,0	14,26,17,14	0,0,0,1	396	99
316	13,3,2,2	1,0,0,0	6,5,5,7	0,0,0,0	246	99
318	23,12,7,7	8,0,4,2	17,11,8,15	1,1,2,2	465	99
319	497,404,237,213	4,1,0,3	603,435,426,347	0,2,0,1	3336	99
320	12,5,11,9	13,3,2,2	22,27,16,11	12,2,13,7	324	99
321	10,4,9,7	0,0,0,1	18,20,10,9	0,0,0,0	227	99
324	0,0,0,0	0,1,0,0	0,2,0,1	0,0,0,0	451	99
326	43,20,21,19	9,5,7,0	40,22,17,39	6,4,5,5	177	99
327	74,37,40,35	7,8,7,4	54,28,37,53	10,3,8,11	181	99
329	32,19,18,12	2,0,2,0	41,9,15,17	2,0,1,1	212	99
330	32,19,18,11	1,0,3,0	41,9,15,17	0,0,0,0	200	99
331	27,22,23,22	0,1,1,0	44,25,13,26	2,3,1,0	247	99
332	231,120,132,142	19,10,11,6	220,172,193,154	19,10,19,11	177	99
333	1513,890,842,764	211,117,141,126	1853,1064,948,1122	196,119,125,165	1207	99
334	66,24,24,29	22,10,10,9	83,40,55,42	32,16,13,20	174	99
335	51,38,34,23	6,1,4,1	47,27,28,31	7,3,5,11	207	99
338	4,3,1,3	1,0,0,0	3,3,1,3	0,0,1,0	290	99
339	9,6,3,4	1,0,0,0	9,9,3,5	1,0,0,0	495	99
340	241,119,131,78	11,4,4,3	216,111,139,154	6,3,2,3	198	99
341	4,4,1,2	3,0,1,4	3,4,1,0	1,0,0,2	181	99
343	75,31,48,37	20,4,7,4	75,46,45,56	21,16,5,15	173	99
344	63,29,39,16	0,0,0,1	56,35,18,41	1,2,0,0	202	99
345	3,2,4,1	4,3,5,5	2,1,3,1	3,1,3,2	257	99
346	129,82,96,81	1,0,1,0	123,51,66,82	2,0,0,0	453	99
348	108,56,59,36	8,4,2,3	82,55,34,68	9,1,4,4	183	99
349	183,135,112,85	4,2,3,4	176,104,85,115	4,5,3,5	354	99
350	20,9,13,6	4,8,8,8	12,7,7,18	10,8,5,3	237	99
353	261,140,168,108	0,0,0,0	278,156,146,215	0,0,1,0	416	99
355	9,2,2,2	3,0,1,0	2,5,7,5	2,1,2,1	171	99
356	19,3,8,4	0,0,0,0	28,6,18,7	0,0,0,1	222	99
357	6,2,1,1	2,3,1,0	6,3,5,1	3,0,1,0	179	99
358	323,196,167,114	1,1,0,0	293,149,173,209	2,3,2,0	491	99
359	255,158,126,82	6,0,5,2	227,114,129,151	10,4,5,6	362	99
360	30,12,21,9	13,8,8,8	24,15,14,22	8,6,5,11	168	99
361	14,6,10,2	0,0,0,0	10,4,3,18	3,0,0,1	286	99
362	17,8,10,3	0,0,0,2	10,5,5,18	0,0,0,1	322	99
363	32,21,12,20	1,0,1,1	36,15,24,27	0,2,0,1	205	99
364	70,45,24,32	4,2,3,2	61,37,41,54	2,2,0,3	371	99
365	37,17,16,22	4,1,0,1	30,16,18,21	2,1,1,0	183	99
366	2,3,0,0	2,1,0,0	1,1,0,0	2,0,0,0	167	99
367	21,12,10,11	24,11,10,10	31,4,10,14	19,8,9,10	173	99
368	28,8,14,9	16,3,6,6	31,8,4,11	10,2,5,7	246	99
369	55,30,31,20	0,2,0,1	56,18,25,34	2,1,2,1	180	99
370	91,71,42,31	6,1,0,0	62,40,34,25	1,7,3,1	180	99
372	5,1,2,3	9,6,11,9	12,5,3,3	11,14,7,12	180	99
373	502,289,299,232	6,5,1,0	484,294,348,351	5,2,4,6	1062	99
374	41,18,17,6	0,1,0,0	27,25,20,16	0,0,0,1	634	99
375	26,7,15,9	0,0,0,0	22,5,9,4	4,0,1,0	355	99
376	2,1,1,1	1,0,1,0	7,2,4,7	0,0,0,1	164	99
377	227,108,113,122	4,3,4,4	161,97,93,130	11,0,2,1	385	99
378	261,132,134,137	7,9,7,12	189,107,105,144	11,3,4,5	412	99
379	31,21,20,22	0,1,0,0	35,21,21,24	1,0,0,0	227	99
380	106,69,65,46	6,9,11,2	98,46,42,55	8,3,4,2	213	99
381	118,78,77,76	11,3,1,3	150,99,80,93	4,1,1,2	173	99
382	355,234,198,205	7,3,5,5	420,278,230,250	12,9,6,10	970	99
383	2,2,0,2	2,1,1,4	5,1,1,2	0,0,0,1	157	99
384	10,10,11,6	0,1,0,0	8,11,11,19	1,0,0,0	218	99
385	28,16,17,12	6,10,2,3	24,19,26,10	14,10,6,9	203	99
387	23,15,11,10	2,0,1,0	13,6,20,18	2,2,1,1	171	99
388	14,13,16,11	1,0,2,1	26,6,7,17	4,1,1,4	171	99
389	2,1,0,0	1,1,3,0	1,0,2,3	8,2,3,1	213	99
390	8,6,0,0	0,0,0,1	8,0,3,2	1,0,0,0	310	99
391	31,18,17,20	0,0,0,0	34,6,10,21	2,0,0,0	327	99
392	0,1,2,2	0,0,0,1	1,1,0,0	1,1,0,0	181	99
393	13,5,4,6	0,0,0,0	6,1,6,7	2,0,0,1	207	99
394	31,21,24,17	1,0,1,0	42,14,25,20	2,0,0,0	300	99
395	37,8,17,21	5,1,1,4	35,19,15,16	1,2,1,3	162	99
396	141,55,64,65	1,0,4,4	103,75,76,74	2,4,3,1	329	99
397	2,1,0,3	22,3,3,5	1,4,3,1	24,11,20,9	192	99
398	28,19,10,8	1,0,0,1	28,13,13,15	0,0,0,0	220	99
402	1,0,1,1	1,0,0,1	2,2,1,1	3,0,0,0	190	99
403	1,0,1,2	0,1,1,0	2,2,1,1	0,0,0,0	193	99
404	12,9,5,4	0,0,1,1	16,8,10,5	1,0,0,1	353	99
405	1017,547,562,419	0,2,3,2	947,543,553,699	0,4,3,3	802	99
406	1559,878,894,660	4,1,1,0	1467,863,850,1043	7,1,1,4	1613	99
407	13,5,7,4	2,0,0,0	14,8,12,15	1,0,1,0	176	99
408	11,5,6,4	0,1,1,0	14,7,12,15	0,0,0,0	172	99
