ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1143	19,13,16,6	7,4,3,2	14,13,9,13	8,6,5,1	108	99
1145	28,14,14,14	1,0,0,0	29,14,18,15	3,2,0,0	222	99
1146	30,30,28,10	5,1,0,0	48,27,22,45	3,1,1,2	201	99
1147	8,7,2,4	9,5,5,4	12,7,16,9	7,4,5,8	120	99
1148	0,0,0,2	16,5,10,9	0,1,2,0	10,3,11,2	108	99
1149	0,0,0,1	7,3,2,2	0,0,0,0	0,2,2,3	103	99
1150	0,1,1,1	7,3,2,2	0,0,0,3	0,2,2,3	107	99
1151	0,1,1,1	0,0,0,1	0,0,0,3	0,0,0,0	103	99
1152	24,16,8,18	7,3,2,1	34,9,20,13	7,0,2,6	198	99
1153	26,10,15,6	1,0,0,0	19,14,12,11	0,0,0,0	285	99
1155	46,25,20,13	3,0,3,0	28,19,16,12	2,0,1,0	135	99
1156	47,14,11,20	0,0,0,1	53,38,96,39	0,0,0,0	1511	99
1157	70,48,32,32	2,2,1,1	43,33,25,39	5,2,3,2	225	99
1158	2,0,1,1	2,1,0,1	1,1,1,1	0,0,0,0	117	99
1161	39,18,29,20	0,1,0,0	40,28,28,14	0,2,0,1	389	99
1162	4,2,0,2	2,1,0,1	5,2,1,2	3,1,1,1	107	99
1163	3,4,3,0	29,11,11,7	5,1,0,5	22,15,6,18	114	99
1164	2,2,0,0	7,1,1,2	4,2,3,2	1,0,0,2	117	99
1165	61,26,27,17	8,5,4,7	51,33,17,33	10,2,1,4	562	99
1166	101,48,67,42	0,1,0,0	92,58,51,63	0,1,1,0	219	99
1167	47,22,12,12	2,0,0,4	25,10,19,25	2,0,1,2	111	99
1168	1,1,0,0	14,10,10,9	1,1,1,0	19,11,6,19	102	99
1169	2,1,3,0	1,0,0,1	1,0,1,0	1,1,0,0	103	99
1170	238,139,129,96	14,6,7,3	270,171,127,186	4,11,9,8	847	99
1171	39,30,25,20	2,2,4,1	34,17,22,33	1,0,3,1	285	99
1172	6,4,3,1	1,0,0,1	4,2,5,1	0,0,0,0	139	99
1173	1,0,0,1	30,14,10,14	0,0,0,0	28,15,18,13	105	99
1174	1054,544,591,488	2,0,0,0	1240,888,729,827	0,0,0,0	2213	99
1175	10,3,6,2	0,0,1,0	8,9,5,2	0,0,0,0	270	99
1176	3,2,1,4	81,40,46,34	4,0,0,3	90,39,48,64	108	99
1177	67,49,55,23	12,7,11,5	55,36,46,49	15,8,5,13	153	99
1178	53,41,48,32	20,6,11,6	63,26,37,36	19,5,7,2	108	99
1179	0,0,1,2	29,15,17,13	3,1,0,0	26,16,18,23	108	99
1180	1,1,0,1	33,11,13,16	3,2,0,0	23,16,16,14	114	99
1181	5,0,2,0	4,0,1,1	0,0,2,0	0,0,0,0	103	99
1182	60,39,31,23	6,6,2,11	53,22,28,33	3,11,4,8	128	99
