ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
615	136,73,66,72	194,114,107,82	58,76,59,55	88,89,97,95	212	200
616	231,133,127,96	12,3,5,4	94,122,96,70	2,0,3,2	185	152
617	136,73,66,72	12,3,5,4	58,76,59,55	2,0,3,2	212	152
618	8500,5151,5190,3722	1381,833,839,592	3005,4511,3895,7128	516,721,642,1225	616	292
619	8500,5151,5190,3722	2846,1693,1709,1234	3005,4511,3895,7128	968,1594,1363,2420	616	342
620	1381,833,839,592	2846,1693,1709,1234	516,721,642,1225	968,1594,1363,2420	292	342
621	105,48,49,32	254,133,145,127	38,35,48,51	135,135,134,141	213	506
622	1,1,1,0	9,0,1,0	0,1,2,1	1,4,1,2	273	456
623	82,50,43,26	48,27,41,30	40,40,21,62	17,34,19,17	280	280
624	190,104,139,86	7,6,7,4	107,138,74,131	12,10,8,12	891	252
625	21,14,11,8	19,15,21,13	10,7,9,21	15,16,13,31	225	201
626	14,15,12,5	591,318,294,245	11,11,12,21	220,224,216,431	201	288
627	297,159,152,112	205,107,125,90	115,119,116,205	106,99,88,200	288	175
628	479,272,224,162	204,108,125,91	170,170,158,320	106,100,88,200	288	175
629	225,135,114,101	371,177,196,159	87,88,80,183	161,163,116,253	175	226
630	430,199,239,185	347,173,162,157	186,181,161,347	120,140,103,250	226	235
631	418,199,235,177	371,155,156,151	181,180,158,342	129,125,88,221	226	233
632	8,3,2,2	18,5,4,6	4,3,0,9	10,5,3,14	261	204
633	69,48,50,36	70,42,33,37	46,46,33,48	11,42,27,29	311	250
634	121,72,93,56	103,49,51,31	66,87,76,87	29,55,55,59	196	147
635	54,23,24,18	82,41,41,28	22,24,22,27	24,45,49,51	210	147
636	19,8,10,7	6,0,1,1	17,7,19,37	0,2,0,5	210	210
637	14,4,3,4	31,5,5,7	10,19,4,22	10,13,16,21	191	191
638	291,151,231,193	308,177,239,201	208,149,117,306	199,177,108,334	314	226
639	135,59,71,37	57,26,47,30	83,67,60,55	31,29,35,38	532	140
640	17,8,9,5	158,53,83,72	7,9,6,1	81,63,76,106	101	525
641	17,8,9,5	156,53,83,73	7,9,6,1	81,62,76,104	101	521
642	222,135,144,94	103,61,64,49	76,78,112,106	48,48,56,60	335	335
643	2,3,1,2	20,5,6,6	5,4,2,3	5,4,13,9	111	111
644	18,6,3,7	16,7,10,4	6,8,1,7	4,4,3,10	147	147
645	141,44,44,63	40,18,24,13	57,48,22,53	20,21,11,20	207	140
646	18,9,11,12	26,16,15,20	7,9,10,17	12,14,15,19	141	167
647	61,23,41,38	281,153,175,103	28,28,29,30	128,143,128,151	319	514
649	3,5,0,2	15,5,3,12	4,5,2,7	13,5,7,14	660	165
650	6,3,0,5	2,0,0,1	5,1,2,4	0,0,0,1	165	144
651	6,3,0,5	3,2,0,1	5,1,2,4	0,0,2,1	165	153
652	2,0,0,1	3,2,0,1	0,0,0,1	0,0,2,1	144	153
653	209,98,120,103	19,13,6,6	101,77,82,113	5,12,11,16	162	169
654	689,377,521,431	456,210,237,192	354,315,339,433	199,178,169,249	162	162
655	323,116,178,147	266,107,152,100	137,106,98,162	113,99,77,135	217	170
656	9,4,3,12	63,17,28,31	6,3,5,8	38,40,46,45	153	483
657	11,3,3,5	32,29,16,19	4,5,9,7	17,17,19,23	169	182
658	11,3,3,5	3,0,0,1	4,5,9,7	1,2,2,1	169	140
659	9,2,4,8	31,13,26,22	2,2,4,6	11,24,20,32	200	169
660	22,4,9,13	84,42,34,34	4,8,15,13	47,35,36,56	200	197
661	1,4,3,3	4,3,3,2	1,4,3,6	2,2,1,0	506	166
662	0,1,0,0	0,1,2,0	0,0,2,0	0,0,0,2	215	336
663	424,174,303,236	190,119,118,110	285,219,161,391	110,93,97,205	788	463
