ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
238	21,11,14,5	86,49,47,37	4,22,13,13	43,48,53,46	198	198
239	15,11,3,3	87,49,47,36	2,6,10,7	43,48,52,47	198	198
240	15,6,6,4	30,12,10,16	6,9,4,10	19,17,13,10	198	185
241	0,0,0,0	172,86,103,70	0,0,0,1	68,73,70,79	160	198
242	175,90,114,121	254,131,150,155	79,116,144,115	156,118,134,139	198	198
243	60,39,54,45	254,131,150,155	62,21,26,46	156,118,134,139	198	198
244	1481,760,950,947	254,131,150,155	673,664,866,904	156,118,134,139	198	198
245	60,39,54,45	175,90,114,121	62,21,26,46	79,116,144,115	198	198
246	1481,760,950,947	175,90,114,121	673,664,866,904	79,116,144,115	198	198
247	731,369,470,465	28,20,23,23	316,290,409,450	26,7,14,30	198	198
248	1481,760,950,947	60,39,54,45	673,664,866,904	62,21,26,46	198	198
249	1,2,0,0	1,0,1,0	0,3,9,6	0,0,0,0	182	198
250	5,1,0,1	2,1,0,0	0,1,0,2	0,1,2,1	198	198
251	5,3,1,1	2,1,0,0	0,2,1,1	0,1,2,1	198	198
252	50,29,30,28	20,9,10,5	12,24,11,36	3,5,6,11	198	198
253	11,11,11,4	32,33,19,10	2,6,3,10	23,19,10,31	198	198
254	81,46,51,64	52,26,22,30	56,50,43,88	15,25,19,31	198	165
255	13,8,9,2	30,21,23,13	5,11,4,7	24,12,13,30	198	198
256	393,220,202,265	1015,562,667,690	172,268,233,303	637,531,598,1368	178	178
257	512,243,306,318	899,517,568,610	246,305,310,401	584,471,493,1326	198	198
258	688,463,482,465	59,38,30,33	403,329,456,991	30,40,23,125	198	198
259	283,194,168,179	59,38,30,33	173,168,155,366	30,40,23,125	198	198
260	489,259,265,292	59,38,30,33	215,312,269,327	30,40,23,125	198	198
261	283,194,168,179	688,463,482,465	173,168,155,366	403,329,456,991	198	198
262	489,259,265,292	688,463,482,465	215,312,269,327	403,329,456,991	198	198
263	489,259,265,292	283,194,168,179	215,312,269,327	173,168,155,366	198	198
264	157,65,81,118	417,210,209,283	112,125,77,274	176,250,286,360	198	198
