"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114870850",52.641220480777,-0.383825640830692,0.385273605907521,-0.996241722623542,0.319132711805826,0.605159198918679
"LOC114870851",92.1413797403435,0.257479938129845,0.153928292447186,1.67272652763422,0.0943811444808893,0.327042040495308
"LOC114870852",2304.21078033484,-0.152343451059202,0.0786862684294403,-1.93608686877573,0.0528570625133872,0.238268839573797
"LOC114870853",107.870963419582,0.358330158773176,0.145845214979849,2.45692091319338,0.0140133532832156,0.115065066593424
"LOC114870854",145.228198865572,0.0285137582576672,0.152550758262761,0.186913251578558,0.851728649047806,0.940053510595804
"LOC114870855",0.846975571128257,0.529707963975284,1.45778009895429,0.36336616500339,0.716331373359472,NA
"LOC114870856",206.947185742877,-0.032658485238088,0.133339258584191,-0.244927754847738,0.806512370829581,0.9209453319911
"LOC114870857",215.593697302203,-0.516814219789979,0.18493720695031,-2.79453890492052,0.00519737866297564,0.0679224501184301
"LOC114870858",283.416686568277,-0.152722735811032,0.11352173052265,-1.34531719264587,0.178522823773253,0.452001231012434
"LOC114870859",4.03163529829329,0.730165751224702,0.821976727397887,0.888304652537026,0.374376897723444,NA
"LOC114870860",554.055362346868,-0.0632982839938157,0.105052159518096,-0.602541483051686,0.546813758709805,0.777184076454171
"LOC114870861",278.922867728868,-0.584867455638204,0.325268967860478,-1.79810407210158,0.0721605170645154,0.281836953436943
"LOC114870862",327.67561495043,0.174263191399476,0.0943051247866204,1.84786555124945,0.0646217951080389,0.266850593410729
"LOC114870863",240.73260041612,-0.425052913069662,0.225248954773661,-1.88703611742292,0.059155467948568,0.254588266427246
"LOC114870864",479.509826953125,-0.0985033504059482,0.318116500177622,-0.309645524048417,0.756830533359457,0.896366456526934
"LOC114870865",236.447874929015,0.0623414629440361,0.218013953238839,0.28595171097026,0.774915106906883,0.905581680958657
"LOC114870866",103.53397321904,-0.151775449129367,0.174061089560702,-0.871966557904584,0.383226621741002,0.660249563542125
"LOC114870867",122.057721238716,0.138555341022997,0.145767382872923,0.950523623956302,0.341846255977091,0.625722586822176
"LOC114870868",205.675325290531,0.207751661368339,0.156211941624555,1.32993456971207,0.183539830172606,0.457542007580619
"LOC114870869",162.743297832282,-0.789280964164875,0.263101138891635,-2.99991466205686,0.00270055256974876,0.0469982196935997
"LOC114870870",681.478385309429,-0.178830381789429,0.120628634078572,-1.48248699950416,0.13821076025514,0.398403899629811
"LOC114870871",148.619802359199,0.0376309811204691,0.137946896772664,0.272793241463668,0.785012155130743,0.912282663133504
"LOC114870872",240.359967837362,-0.236419804984451,0.128651834165344,-1.83767146825596,0.0661108305918036,0.2700181756377
"LOC114870873",0.478895380776875,0.0358200704017815,2.37738425928243,0.0150670091559339,0.987978720853369,NA
"LOC114870874",166.031554120566,0.317074840634134,0.18332601725871,1.72956815063886,0.0837074605265106,0.306640875561838
"LOC114870875",117.913316950581,0.263158885206966,0.169607833417494,1.55157270689965,0.120764497907195,0.371213352656286
"LOC114870876",206.20089034639,0.224183752474186,0.120215273418328,1.86485249419237,0.0622020828478915,0.262645885681974
"LOC114870877",114.326888173651,0.12353491910501,0.126411645815335,0.977243182843076,0.328448774107887,0.612633377833281
"LOC114870878",163.340405792891,-0.0536009575048575,0.143052781260202,-0.374693571370426,0.707888373838856,0.872944466366365
"LOC114870879",96.4288520891394,-0.0316125923082783,0.162579659051952,-0.194443711425036,0.845828466225152,0.936989437655501
"LOC114870880",212.367725160505,0.185538205510531,0.113373968471978,1.63651504848213,0.101731838836663,0.339266422959942
"LOC114870881",183.569036030746,0.119321397381429,0.120244204546037,0.992325558074991,0.32103873963256,0.606752415505148
"LOC114870882",218.370485970451,0.247963399116898,0.149764489288552,1.65568887721539,0.0977848409484935,0.333191351928233
"LOC114870883",165.493682790156,0.0254178472203065,0.138577758944956,0.183419384277982,0.85446896741287,0.94126448401564
"LOC114870884",0.26136420739968,-0.611306923685818,2.57758302308387,-0.2371628452745,0.812530459268579,NA
"LOC114870885",35.4019296769204,-0.79175516076538,0.277261464113153,-2.85562641493612,0.00429520200652496,0.0609477756543181
"LOC114870886",47.4322746513552,-0.418528359702547,0.354854572238047,-1.17943628868275,0.238224492264553,0.523129757219265
"LOC114870887",3.20439929335738,0.41207072574402,0.76351732588598,0.539700556586395,0.589403556084086,NA
"LOC114870888",752.33271852811,0.218843740362394,0.0703652987832323,3.11010887677128,0.00187018394272909,0.0386339444361844
"LOC114870889",668.383469783553,-0.342034547474512,0.177806315429396,-1.92363553931429,0.0544002830862928,0.241700910326658
"LOC114870890",387.544489617888,-0.464699774116089,0.179551905198225,-2.58810828881521,0.00965046371414522,0.0957562794228785
"LOC114870891",512.183206791968,0.0714502147407397,0.071179618595832,1.0038015958816,0.315474255027567,0.601239696131879
"LOC114870892",150.753338812005,0.19547676498501,0.136145121429107,1.43579705929307,0.151060096857776,0.414810445343278
"LOC114870893",118.051660254102,0.126220851736783,0.160361708712414,0.787100940431749,0.431222778920441,0.697128584515358
"LOC114870894",106.590723794496,2.39065814022083,1.05934128050317,2.25674028211694,0.0240243082065673,0.152450328834124
"LOC114870895",155.89432736561,0.000317151731349756,0.131356532516972,0.00241443440438547,0.998073561937363,0.99954532703469
"LOC114870896",1.36228317400467,-1.09343369283164,1.32226064828671,-0.826942626061229,0.408269581570764,NA
"LOC114870897",76.8450217947235,-0.242367079355911,0.257981952070181,-0.939473003483507,0.347487946588135,0.631984530973649
"LOC114870898",175.504953436856,0.0238394159005755,0.115216039568699,0.206910565489112,0.836079705003021,0.933052761128729
"LOC114870899",12.9819568367819,0.181568707402821,0.384536085870539,0.47217599095225,0.636801175345328,0.834499614221262
"LOC114870900",1692.4041714566,-0.0698413418697779,0.142844806938195,-0.48893161303369,0.624890113666851,0.828515766233516
"LOC114870901",5.20791954542558,-0.954513965233958,1.48285838623667,-0.643698666098797,0.519770855074236,NA
"LOC114870902",503.536107329859,0.188984065428043,0.123307079757197,1.53262947918457,0.125367173809218,0.379666069259404
"LOC114870903",157.293681984561,0.0168272049507939,0.11681486261489,0.144050205377281,0.885460824861106,0.956187636341938
"LOC114870904",240.232524278167,0.0685165196336602,0.101156683885239,0.677330622180056,0.49819620601436,0.745511620555265
"LOC114870905",8.98345592974851,-0.868964670962494,0.417182364774186,-2.08293721004446,0.0372569473122011,0.194639737542657
"LOC114870906",796.068103932129,0.0350422746936253,0.111634988044449,0.313900465324299,0.753596636956433,0.895525388099531
"LOC114870907",206.21041795346,0.0059565801620775,0.109987933708713,0.0541566693838677,0.956810342812349,0.984485725987791
"LOC114870908",215.233282286626,0.0573266985335565,0.121475246297929,0.471920825687874,0.636983302523858,0.834610706485868
"LOC114870909",268.772688858312,0.0723440183416938,0.112513534171213,0.642980587842947,0.52023669601708,0.759017902476927
"LOC114870910",87.9262055845134,0.309003052650338,0.160949743501952,1.91987291142585,0.0548739543210126,0.24249196412064
"LOC114870911",0,NA,NA,NA,NA,NA
"LOC114870912",562.495521354778,0.215188792550827,0.10102808742338,2.12998976857823,0.0331724580729867,0.182508721257656
"LOC114870913",151.344593973536,0.00318463041448768,0.226336940747493,0.0140703077631527,0.988773889083449,0.996849073264529
"LOC114870914",638.691453567719,-0.279559956786214,0.185264921471781,-1.50897403871891,0.131305417354434,0.388836387903131
"LOC114870915",777.243230014119,-0.366889720771753,0.152966454515057,-2.39849790553678,0.0164624706380174,0.124579026143917
"LOC114870916",377.465398645554,0.233065886451997,0.10640116323066,2.19044491033194,0.028491985976555,0.166504291599868
"LOC114870917",84.4130351092471,0.18020891167996,0.204570596832839,0.880913066051297,0.378364874893064,0.657289173750403
"LOC114870918",0.44161789371952,0.797201153949859,2.05012461684959,0.388854973691751,0.697383431671853,NA
"LOC114870919",828.72182966616,-0.233762531643575,0.103330988091219,-2.26226939238413,0.0236807642701594,0.151312125320798
"LOC114870920",190.027378475559,0.231755017614131,0.181766119407446,1.2750176895983,0.202302980854972,0.481762070797131
"LOC114870921",342.773006384154,-0.157939612589821,0.178146822676827,-0.886569910238236,0.375310499801582,0.655569868540945
"LOC114870922",114.740965863086,0.0773265666642974,0.144934991257031,0.533525865587316,0.593669610977656,0.809480512007654
"LOC114870923",347.4302595521,0.174477457715465,0.0914512973655758,1.90787296344187,0.0564076374697326,0.247104075640275
"LOC114870924",351.040908942364,0.0908868892209491,0.132566058849511,0.685596977157811,0.492967288257878,0.741180035467342
"LOC114870925",749.081514909349,-0.262040634259692,0.13045477324924,-2.00867034400536,0.0445721057781078,0.215276993146884
"LOC114870926",1520.83490332166,-0.298555696782828,0.653642993570203,-0.456756516507757,0.647846063519638,0.840699811354047
"LOC114870927",94.2543957215377,0.375622240673894,0.143025216281444,2.62626584625992,0.00863273648062054,0.0890595064360528
"LOC114870928",10.1171951947568,-0.454604091227075,0.398457714366233,-1.14090924792395,0.253907690583375,0.540873263179
"LOC114870929",1312.16760072881,-0.263639236003608,0.159079994830995,-1.65727460755639,0.0974639686205374,0.332626832398036
"LOC114870930",321.374572079704,0.134894153315553,0.14642975663442,0.921220907662455,0.356935104677637,0.640679101722337
"LOC114870931",919.633493845993,-0.0222200324431578,0.123594979277338,-0.179781028105499,0.857324478309736,0.942546123685232
"LOC114870932",19.139107760598,-0.483696727621017,0.930419891111758,-0.519869289384009,0.60315468153189,0.815697193502635
"LOC114870933",96.38938242379,0.472435552302495,0.165622159098568,2.852489998161,0.00433781774896648,0.0610642225975199
"LOC114870934",106.081233714077,0.124527361599103,0.159097677770857,0.782710114590459,0.433797361262054,0.699049770319472
"LOC114870935",4.52742968564087,-0.438388366286145,0.656279022402145,-0.667990826038495,0.504139448503413,NA
"LOC114870936",668.211419515593,-0.293105789352676,0.209516668677203,-1.39896167308892,0.161824476629379,0.429746506782176
"LOC114870937",7239.72791742718,0.523023646663899,0.12196475934837,4.28831778505773,1.80031399910322e-05,0.00212154658290219
"LOC114870938",380.283995569514,0.426366831071263,0.138268009060132,3.08362602433827,0.00204494477838391,0.0406758969491537
"LOC114870939",286.326046748066,0.0926775636021313,1.00798757716812,0.0919431605124568,0.926743199539141,0.971859908915494
"LOC114870940",136.6891859138,-1.06639713200802,0.319718513722618,-3.33542502619415,0.000851691163447183,0.0252661105131367
"LOC114870941",14.9034163538291,-0.755543391442723,0.418510857201235,-1.805313717535,0.0710256042708178,0.280600232909549
"LOC114870942",277.131554418517,0.0573887753294872,0.124763432565707,0.459980734333061,0.6455300490836,0.83964938716336
"LOC114870943",108.090928154575,-0.151040884956264,0.239852256281596,-0.629724678424274,0.528874733385705,0.766350384588179
"LOC114870944",759.916635543395,0.262646018261891,0.0881668702455383,2.97896497324268,0.00289223838243603,0.0483692647999203
"LOC114870945",123.159145442513,-0.829237658582611,0.300569677591015,-2.75888660901767,0.00579986557180827,0.0723805055706958
"LOC114870946",196.91689462034,-0.081630549617864,0.158594910617343,-0.514711028872936,0.606754965395668,0.817748454371253
"LOC114870947",362.462532752452,0.130956646205675,0.123762601661539,1.05812777404123,0.28999719366369,0.576030106876462
"LOC114870948",447.822351127899,0.00618658199638315,0.138995151890676,0.0445093365648399,0.964498409851367,0.986829558140085
"LOC114870949",230.275467042994,0.0269901295958722,0.107321339929472,0.251488936064432,0.80143611512884,0.91925087402378
"LOC114870950",672.482948118157,0.0277570586428246,0.114735239509489,0.241922697520748,0.808840062362437,0.921827824415315
"LOC114870951",744.925113433937,0.0994065715928712,0.131540302869443,0.755711895323324,0.44982195053356,0.713605400059994
"LOC114870952",101.210330781974,-0.0304947306573075,0.136312006085942,-0.223712727388673,0.822980841908232,0.927969795588451
"LOC114870953",8.96265540033026,0.49753133263984,0.446582092633039,1.11408706450007,0.265241837456801,0.552911537345971
"LOC114870954",1222.45124894268,-0.331670107577055,0.161696455162842,-2.05118972610151,0.0402484740258975,0.204030327475677
"LOC114870955",331.250291767741,-0.201671216482728,0.133430794949443,-1.51142932603483,0.130679102332364,0.387935469503843
"LOC114870956",665.375710690598,-0.206917048872382,0.120942796712524,-1.71086707515301,0.0871056538414142,0.313631570929208
"LOC114870957",1215.86895849432,0.103448909458151,0.0699814839074931,1.47823257927622,0.139345536498393,0.399298034153791
"LOC114870958",108.944148208652,0.277285919924238,0.147099756138364,1.8850195758545,0.0594271949224583,0.254989660695813
"LOC114870959",217.11402669684,-0.458243246041937,0.185573355630271,-2.46933749990986,0.013536348294918,0.112964048446069
"LOC114870960",410.486691150604,-0.0146267444358025,0.323338182387836,-0.0452366755073118,0.963918661332334,0.986354104034627
"LOC114870961",1068.57728915209,0.196651999767679,0.0792847187414867,2.48032663657263,0.013126207690611,0.111178537924722
"LOC114870962",124.5697823022,0.110279937735443,0.15349500619421,0.718459450048237,0.472474041914038,0.729446099520646
"LOC114870963",383.325235234255,0.18552489155378,0.121369683223536,1.52859335730558,0.126365283799487,0.381454076765141
"LOC114870964",182.87585527169,-0.476338047782113,0.198064773309684,-2.40496096212594,0.0161741934571672,0.124114883990332
"LOC114870965",560.148186730123,-0.102104401136989,0.117421419357423,-0.869555160342512,0.384543551164632,0.660924591847311
"LOC114870966",230.954594030542,0.208767879071541,0.15010068427721,1.39085228076631,0.164270225683501,0.432687418199059
"LOC114870967",133.479414720163,0.204860982347728,0.148791945060836,1.37682844500734,0.168565294193693,0.438310666400525
"LOC114870968",1459.859346436,-0.0803075066460717,0.124545646360165,-0.644803804814149,0.519054335955286,0.758196084877265
"LOC114870969",181.694355401937,0.228662839331084,0.112939258458764,2.02465327337501,0.0429029798322113,0.21005553746519
"LOC114870970",937.397046420869,0.137049089870054,0.0571587585470255,2.39769185604865,0.0164987382237607,0.124619984839031
"LOC114870971",25.740146064016,0.417161742727482,0.256376667370893,1.62714394802545,0.103706529006871,0.341349520175933
"LOC114870972",274.369339810104,0.0282665825590097,0.161712845416138,0.174794911846804,0.86124078654656,0.944533358457677
"LOC114870973",155.193263232985,0.103393172467278,0.221428916231764,0.466936180815063,0.640545538539948,0.837230812914007
"LOC114870974",275.595810127153,0.144183509660142,0.110067437661067,1.30995608441553,0.190210692375553,0.466173889575648
"LOC114870975",52.6108461745634,0.0377154704962899,0.189800369086971,0.198711260034525,0.842488615442477,0.935553115716776
"LOC114870979",141.524931170365,0.340552337769016,0.145097957307842,2.34705122034554,0.0189226533010533,0.133517618724222
"LOC114870980",267.402115761023,0.431216456720737,0.142545594670163,3.02511247519456,0.00248540680937465,0.0450995309680626
"LOC114870981",197.874969708845,-0.255518934732876,0.126894107230888,-2.01363909096228,0.0440474391343939,0.213464497286127
