Dbxref=GeneID:114871134,Genbank:XP_029032522.1
Dbxref=GeneID:114871225,Genbank:XP_029032743.1
Dbxref=GeneID:114871289,Genbank:XP_029032955.1
Dbxref=GeneID:114871289,Genbank:XP_029032868.1
Dbxref=GeneID:114871388,Genbank:XP_029033175.1
Dbxref=GeneID:114871388,Genbank:XP_029033081.1
Dbxref=GeneID:114871388,Genbank:XP_029033348.1
Dbxref=GeneID:114871388,Genbank:XP_029033442.1
Dbxref=GeneID:114871388,Genbank:XP_029033263.1
Dbxref=GeneID:114874075,Genbank:XP_029038879.1
Dbxref=GeneID:114874075,Genbank:XP_029038960.1
Dbxref=GeneID:114874075,Genbank:XP_029039050.1
Dbxref=GeneID:114874075,Genbank:XP_029039142.1
Dbxref=GeneID:114871078,Genbank:XP_029032399.1
Dbxref=GeneID:114882642,Genbank:XP_029055356.1
Dbxref=GeneID:114882647,Genbank:XP_029055371.1
Dbxref=GeneID:114882647,Genbank:XP_029055380.1
Dbxref=GeneID:114882647,Genbank:XP_029055387.1
Dbxref=GeneID:114882338,Genbank:XP_029055237.1
Dbxref=GeneID:114882338,Genbank:XP_029055163.1
Dbxref=GeneID:114882338,Genbank:XP_029055202.1
Dbxref=GeneID:114882338,Genbank:XP_029055275.1
Dbxref=GeneID:114882338,Genbank:XP_029055310.1
Dbxref=GeneID:114882338,Genbank:XP_029055080.1
Dbxref=GeneID:114882338,Genbank:XP_029055125.1
Dbxref=GeneID:114882664,Genbank:XP_029055399.1
Dbxref=GeneID:114882626,Genbank:XP_029055345.1
Dbxref=GeneID:114882626,Genbank:XP_029055338.1
Dbxref=GeneID:114882626,Genbank:XP_029055329.1
Dbxref=GeneID:114876787,Genbank:XP_029044480.1
Dbxref=GeneID:114876477,Genbank:XP_029044243.1
Dbxref=GeneID:114876501,Genbank:XP_029043895.1
Dbxref=GeneID:114876550,Genbank:XP_029044115.1
Dbxref=GeneID:114876550,Genbank:XP_029044030.1
Dbxref=GeneID:114882782,Genbank:XP_029055647.1
Dbxref=GeneID:114882790,Genbank:XP_029055658.1
Dbxref=GeneID:114882767,Genbank:XP_029055633.1
Dbxref=GeneID:114882767,Genbank:XP_029055624.1
Dbxref=GeneID:114882767,Genbank:XP_029055616.1
Dbxref=GeneID:114883065,Genbank:XP_029056275.1
