Orthogroup	Duplications (all)	Duplications (50% support)
OG0000593	13	12
OG0000594	23	23
OG0000595	3	3
OG0000596	13	8
OG0000597	26	26
OG0000598	10	9
OG0000599	14	11
OG0000600	21	20
OG0000601	10	10
OG0000602	7	6
OG0000603	26	26
OG0000604	13	13
OG0000605	15	10
OG0000606	25	25
OG0000607	26	26
OG0000608	30	24
OG0000609	23	23
OG0000610	35	31
OG0000611	23	23
OG0000612	23	23
OG0000613	8	8
OG0000614	4	3
OG0000615	25	25
OG0000616	18	17
OG0000617	16	16
OG0000618	43	43
OG0000619	21	21
OG0000620	22	22
OG0000621	23	23
OG0000622	22	22
OG0000623	22	22
OG0000624	17	14
OG0000625	23	23
OG0000626	22	22
OG0000627	21	21
OG0000628	8	7
OG0000629	17	16
OG0000630	19	15
OG0000631	22	22
OG0000632	22	22
OG0000633	10	10
OG0000634	4	4
OG0000635	7	4
OG0000636	22	22
OG0000637	22	22
OG0000638	24	24
OG0000639	23	23
OG0000640	22	22
OG0000641	22	22
OG0000642	22	22
OG0000643	4	4
OG0000644	23	23
OG0000645	6	6
OG0000646	20	20
OG0000647	22	22
OG0000648	16	14
OG0000649	23	22
OG0000650	22	22
OG0000651	5	5
OG0000652	42	42
OG0000653	22	22
OG0000654	10	8
OG0000655	18	17
OG0000656	22	22
OG0000657	22	21
OG0000658	33	27
OG0000659	22	22
OG0000660	16	15
OG0000661	11	10
OG0000662	20	20
OG0000663	23	23
OG0000664	10	7
OG0000665	21	21
OG0000666	11	11
OG0000667	23	23
OG0000668	22	22
OG0000669	23	23
OG0000670	20	20
OG0000671	24	24
OG0000672	10	10
OG0000673	24	24
OG0000674	14	14
OG0000675	22	21
OG0000676	28	27
OG0000677	21	14
OG0000678	24	21
OG0000679	42	42
OG0000680	20	20
OG0000681	8	8
OG0000682	18	17
OG0000683	21	21
OG0000684	22	20
OG0000685	5	5
OG0000686	21	21
OG0000687	21	21
OG0000688	21	21
OG0000689	6	4
OG0000690	21	21
OG0000691	20	19
OG0000692	20	20
OG0000693	22	22
OG0000694	21	20
OG0000695	22	22
OG0000696	21	13
OG0000697	11	10
OG0000698	21	21
OG0000699	21	20
OG0000700	6	5
OG0000701	24	24
OG0000702	30	25
OG0000703	23	23
OG0000704	10	10
OG0000705	21	21
OG0000706	17	14
OG0000707	16	16
OG0000708	20	20
OG0000709	21	21
OG0000710	15	14
OG0000711	21	21
OG0000712	21	21
OG0000713	21	21
OG0000714	16	13
OG0000715	11	11
OG0000716	21	21
OG0000717	21	21
OG0000718	18	15
OG0000719	21	21
OG0000720	2	1
OG0000721	22	22
OG0000722	10	9
OG0000723	16	12
OG0000724	15	11
OG0000725	34	34
OG0000726	19	18
OG0000727	22	22
OG0000728	20	20
OG0000729	23	23
OG0000730	23	23
OG0000731	23	23
OG0000732	25	25
OG0000733	27	27
OG0000734	25	24
OG0000735	41	41
OG0000736	20	20
OG0000737	18	18
OG0000738	9	6
OG0000739	21	21
OG0000740	20	20
OG0000741	18	18
OG0000742	18	16
OG0000743	21	21
OG0000744	17	16
OG0000745	20	20
OG0000746	16	15
OG0000747	20	20
OG0000748	16	7
OG0000749	9	7
OG0000750	20	20
OG0000751	6	5
OG0000752	11	8
OG0000753	19	18
OG0000754	10	10
OG0000755	20	20
OG0000756	5	4
OG0000757	16	8
OG0000758	6	6
OG0000759	19	19
OG0000760	20	19
OG0000761	20	20
OG0000762	20	20
OG0000763	30	28
OG0000764	13	12
OG0000765	21	20
OG0000766	19	19
OG0000767	20	20
OG0000768	20	20
OG0000769	20	20
OG0000770	20	20
OG0000771	20	20
OG0000772	20	20
OG0000773	20	20
OG0000774	20	20
OG0000775	12	12
OG0000776	21	21
OG0000777	20	20
OG0000778	20	20
OG0000779	16	15
OG0000780	19	18
OG0000781	20	20
OG0000782	21	21
OG0000783	23	23
OG0000784	18	17
OG0000785	21	21
OG0000786	21	21
OG0000787	22	20
OG0000788	15	12
OG0000789	21	21
OG0000790	21	21
OG0000791	25	25
OG0000792	40	40
OG0000793	40	40
OG0000794	39	39
OG0000795	19	19
OG0000796	7	6
OG0000797	19	19
OG0000798	19	19
OG0000799	10	10
OG0000800	19	19
OG0000801	5	3
OG0000802	19	18
OG0000803	14	11
OG0000804	19	19
OG0000805	5	3
OG0000806	19	19
OG0000807	19	19
OG0000808	10	9
OG0000809	18	18
OG0000810	18	17
OG0000811	19	19
OG0000812	7	7
OG0000813	11	9
OG0000814	7	6
OG0000815	14	14
OG0000816	19	19
OG0000817	19	19
OG0000818	22	22
OG0000819	9	9
OG0000820	19	19
OG0000821	18	18
OG0000822	18	13
OG0000823	22	22
OG0000824	8	8
OG0000825	17	16
OG0000826	19	19
OG0000827	15	13
OG0000828	20	20
OG0000829	19	19
OG0000830	17	12
OG0000831	17	12
OG0000832	19	18
OG0000833	18	16
OG0000834	23	23
OG0000835	9	9
OG0000836	16	10
OG0000837	20	19
OG0000838	17	16
OG0000839	17	15
OG0000840	18	18
OG0000841	18	18
OG0000842	19	19
OG0000843	18	18
OG0000844	20	20
OG0000845	26	26
OG0000846	24	24
OG0000847	24	17
OG0000848	38	38
OG0000849	16	13
OG0000850	17	17
OG0000851	18	18
OG0000852	18	18
OG0000853	18	18
OG0000854	19	18
OG0000855	20	20
OG0000856	5	5
OG0000857	17	16
OG0000858	6	5
OG0000859	16	16
OG0000860	18	18
OG0000861	16	14
OG0000862	19	19
OG0000863	18	18
OG0000864	18	18
OG0000865	18	17
OG0000866	21	20
OG0000867	18	18
OG0000868	14	11
OG0000869	22	22
OG0000870	18	18
OG0000871	19	19
OG0000872	18	18
OG0000873	18	17
OG0000874	22	22
OG0000875	18	18
OG0000876	18	18
OG0000877	18	18
OG0000878	6	5
OG0000879	14	12
OG0000880	15	14
OG0000881	18	18
OG0000882	22	22
OG0000883	17	17
OG0000884	17	13
OG0000885	20	19
OG0000886	16	15
OG0000887	6	5
OG0000888	18	18
OG0000889	33	32
OG0000890	18	18
OG0000891	25	25
OG0000892	13	12
OG0000893	7	3
OG0000894	18	18
OG0000895	13	11
OG0000896	11	8
OG0000897	18	18
OG0000898	7	6
OG0000899	17	16
OG0000900	16	16
OG0000901	9	4
OG0000902	14	12
OG0000903	10	9
OG0000904	7	6
OG0000905	19	19
OG0000906	4	3
OG0000907	28	27
OG0000908	20	19
OG0000909	19	19
OG0000910	14	12
OG0000911	19	18
OG0000912	20	20
OG0000913	23	23
OG0000914	17	17
OG0000915	21	20
OG0000916	7	5
OG0000917	17	17
OG0000918	15	14
OG0000919	17	17
OG0000920	16	16
OG0000921	17	17
OG0000922	19	19
OG0000923	13	9
OG0000924	17	17
OG0000925	13	8
OG0000926	26	26
OG0000927	17	17
OG0000928	17	17
OG0000929	14	9
OG0000930	17	14
OG0000931	6	6
OG0000932	17	17
OG0000933	4	4
OG0000934	17	17
OG0000935	19	19
OG0000936	17	16
OG0000937	11	9
OG0000938	17	17
OG0000939	2	1
OG0000940	26	23
OG0000941	17	17
OG0000942	13	11
OG0000943	17	17
OG0000944	17	17
OG0000945	8	6
OG0000946	8	8
OG0000947	9	6
OG0000948	17	17
OG0000949	18	18
OG0000950	17	17
OG0000951	17	17
OG0000952	17	17
OG0000953	12	5
OG0000954	6	4
OG0000955	16	15
OG0000956	37	37
OG0000957	17	17
OG0000958	18	17
OG0000959	6	6
OG0000960	5	5
OG0000961	9	7
OG0000962	16	16
OG0000963	17	17
OG0000964	9	3
OG0000965	6	6
OG0000966	17	16
OG0000967	17	17
OG0000968	15	14
OG0000969	13	8
OG0000970	17	17
OG0000971	19	19
OG0000972	17	17
OG0000973	21	20
OG0000974	16	16
OG0000975	14	13
OG0000976	17	17
OG0000977	17	17
OG0000978	3	3
OG0000979	8	7
OG0000980	8	5
OG0000981	19	18
OG0000982	20	19
OG0000983	17	17
OG0000984	2	1
OG0000985	17	17
OG0000986	10	10
OG0000987	6	5
OG0000988	17	17
OG0000989	18	18
OG0000990	20	20
OG0000991	36	36
OG0000992	16	16
OG0000993	13	12
OG0000994	4	4
OG0000995	8	8
OG0000996	16	16
OG0000997	2	2
OG0000998	17	16
OG0000999	15	15
OG0001000	14	13
OG0001001	9	8
OG0001002	9	7
OG0001003	10	10
OG0001004	4	3
OG0001005	16	16
OG0001006	11	11
OG0001007	16	16
OG0001008	6	5
OG0001009	1	1
OG0001010	17	17
OG0001011	16	16
OG0001012	20	20
OG0001013	16	15
OG0001014	17	17
OG0001015	5	5
OG0001016	1	1
OG0001017	16	16
OG0001018	3	3
OG0001019	16	16
OG0001020	16	16
OG0001021	19	19
OG0001022	10	7
OG0001023	17	16
OG0001024	23	23
OG0001025	16	16
OG0001026	16	16
OG0001027	15	6
OG0001028	4	4
OG0001029	15	14
OG0001030	16	16
OG0001031	16	16
OG0001032	4	2
OG0001033	16	16
OG0001034	16	16
OG0001035	15	15
OG0001036	3	3
OG0001037	16	16
OG0001038	15	14
OG0001039	16	16
OG0001040	16	16
OG0001041	16	16
OG0001042	16	16
OG0001043	9	8
OG0001044	16	14
OG0001045	16	16
OG0001046	16	16
OG0001047	29	24
OG0001048	14	11
OG0001049	17	16
OG0001050	11	6
OG0001051	20	20
OG0001052	16	16
OG0001053	8	6
OG0001054	16	16
OG0001055	16	16
OG0001056	14	13
OG0001057	16	16
OG0001058	16	16
OG0001059	4	4
OG0001060	17	17
OG0001061	16	16
OG0001062	17	11
OG0001063	5	3
OG0001064	11	9
OG0001065	16	16
OG0001066	16	15
OG0001067	16	15
OG0001068	14	13
OG0001069	17	17
OG0001070	14	14
OG0001071	16	16
OG0001072	10	5
OG0001073	4	3
OG0001074	5	5
OG0001075	19	18
OG0001076	17	17
OG0001077	17	17
OG0001078	16	16
OG0001079	18	18
OG0001080	31	31
OG0001081	18	18
OG0001082	18	18
OG0001083	19	19
OG0001084	17	17
OG0001085	17	16
OG0001086	18	18
OG0001087	22	22
OG0001088	36	36
OG0001089	36	36
OG0001090	15	15
OG0001091	13	13
OG0001092	14	13
OG0001093	15	15
OG0001094	15	15
OG0001095	15	14
OG0001096	16	16
OG0001097	15	15
OG0001098	15	15
OG0001099	7	6
OG0001100	9	8
OG0001101	12	11
OG0001102	15	11
OG0001103	15	15
OG0001104	14	14
OG0001105	13	12
OG0001106	16	16
OG0001107	15	15
OG0001108	15	14
OG0001109	15	15
OG0001110	13	13
OG0001111	15	15
OG0001112	15	15
OG0001113	15	15
OG0001114	16	16
OG0001115	15	15
OG0001116	16	16
OG0001117	15	15
OG0001118	11	7
OG0001119	15	15
OG0001120	2	2
OG0001121	15	15
OG0001122	16	16
OG0001123	16	15
OG0001124	15	15
OG0001125	16	16
OG0001126	15	15
OG0001127	7	5
OG0001128	5	5
OG0001129	15	15
OG0001130	16	16
OG0001131	11	11
OG0001132	15	15
OG0001133	17	15
OG0001134	10	9
OG0001135	15	15
OG0001136	21	21
OG0001137	13	12
OG0001138	15	15
OG0001139	11	6
OG0001140	15	15
OG0001141	12	10
OG0001142	13	12
OG0001143	15	15
OG0001144	8	4
OG0001145	15	15
OG0001146	7	7
OG0001147	16	16
OG0001148	16	16
OG0001149	15	15
OG0001150	15	15
OG0001151	15	15
OG0001152	14	13
OG0001153	5	4
OG0001154	10	8
OG0001155	15	15
OG0001156	15	15
OG0001157	15	15
OG0001158	14	14
OG0001159	15	15
OG0001160	15	15
OG0001161	3	3
OG0001162	16	16
OG0001163	18	18
OG0001164	18	18
OG0001165	13	12
OG0001166	14	13
OG0001167	15	15
OG0001168	17	17
OG0001169	15	15
OG0001170	17	17
OG0001171	7	7
OG0001172	16	15
OG0001173	15	15
OG0001174	8	8
OG0001175	15	15
OG0001176	15	15
OG0001177	20	14
OG0001178	19	19
OG0001179	15	15
OG0001180	14	14
OG0001181	14	11
OG0001182	16	14
OG0001183	13	10
OG0001184	13	7
OG0001185	15	13
OG0001186	13	13
OG0001187	15	15
OG0001188	17	17
OG0001189	15	14
OG0001190	16	16
OG0001191	7	5
OG0001192	26	26
OG0001193	15	15
OG0001194	35	35
OG0001195	16	16
OG0001196	27	27
OG0001197	8	6
OG0001198	16	16
OG0001199	18	18
OG0001200	29	28
OG0001201	16	15
OG0001202	16	16
OG0001203	10	9
OG0001204	16	16
OG0001205	3	3
OG0001206	17	16
OG0001207	16	16
OG0001208	15	14
OG0001209	12	12
OG0001210	13	10
OG0001211	18	18
OG0001212	21	21
OG0001213	16	7
OG0001214	14	14
OG0001215	14	14
OG0001216	14	14
OG0001217	14	14
OG0001218	14	14
OG0001219	14	14
OG0001220	14	14
OG0001221	13	12
OG0001222	13	13
OG0001223	14	14
OG0001224	14	13
OG0001225	15	15
OG0001226	16	16
OG0001227	22	20
OG0001228	14	14
OG0001229	13	13
OG0001230	14	14
OG0001231	3	3
OG0001232	14	14
OG0001233	12	11
OG0001234	14	13
OG0001235	22	22
OG0001236	14	14
OG0001237	15	15
OG0001238	11	10
OG0001239	14	14
OG0001240	13	13
OG0001241	10	8
OG0001242	9	8
OG0001243	20	20
OG0001244	14	14
OG0001245	14	14
OG0001246	14	14
OG0001247	14	14
OG0001248	14	14
OG0001249	14	14
OG0001250	14	14
OG0001251	10	8
OG0001252	9	8
OG0001253	15	14
OG0001254	15	15
OG0001255	14	13
OG0001256	7	5
OG0001257	15	14
OG0001258	7	5
OG0001259	6	2
OG0001260	5	4
OG0001261	15	15
OG0001262	14	14
OG0001263	14	14
OG0001264	14	14
OG0001265	18	18
OG0001266	21	21
OG0001267	7	4
OG0001268	5	4
OG0001269	12	11
OG0001270	14	14
OG0001271	12	11
OG0001272	13	11
OG0001273	12	11
OG0001274	13	12
OG0001275	20	20
OG0001276	34	34
OG0001277	15	15
OG0001278	14	14
OG0001279	11	7
OG0001280	14	14
OG0001281	5	1
OG0001282	15	15
OG0001283	14	14
OG0001284	14	13
OG0001285	26	23
OG0001286	14	14
OG0001287	16	16
OG0001288	13	12
OG0001289	14	14
OG0001290	15	15
OG0001291	14	14
OG0001292	16	16
OG0001293	14	14
OG0001294	14	14
OG0001295	14	14
OG0001296	10	4
OG0001297	24	17
OG0001298	13	12
OG0001299	17	17
OG0001300	14	14
OG0001301	14	14
OG0001302	7	3
OG0001303	14	14
OG0001304	14	14
OG0001305	8	5
OG0001306	7	7
OG0001307	9	7
OG0001308	14	14
OG0001309	28	28
OG0001310	15	15
OG0001311	32	32
OG0001312	15	15
OG0001313	11	8
OG0001314	14	14
OG0001315	14	13
OG0001316	16	16
OG0001317	4	4
OG0001318	15	15
OG0001319	21	21
OG0001320	16	16
OG0001321	19	19
OG0001322	15	15
OG0001323	6	1
OG0001324	27	23
OG0001325	34	34
OG0001326	34	34
OG0001327	34	34
OG0001328	14	14
OG0001329	14	14
OG0001330	13	13
OG0001331	11	10
OG0001332	13	12
OG0001333	12	12
OG0001334	11	9
OG0001335	11	6
OG0001336	9	8
OG0001337	14	14
OG0001338	13	13
OG0001339	13	13
OG0001340	13	13
OG0001341	9	5
OG0001342	13	13
OG0001343	4	4
OG0001344	15	15
OG0001345	13	13
OG0001346	13	13
OG0001347	13	13
OG0001348	13	13
OG0001349	13	13
OG0001350	13	13
OG0001351	13	13
OG0001352	13	12
OG0001353	13	13
OG0001354	15	15
OG0001355	13	10
OG0001356	13	13
OG0001357	15	14
OG0001358	16	15
OG0001359	11	11
OG0001360	17	17
OG0001361	16	15
OG0001362	10	9
OG0001363	6	6
OG0001364	13	13
OG0001365	13	13
OG0001366	6	5
OG0001367	18	18
OG0001368	13	13
OG0001369	13	13
OG0001370	14	14
OG0001371	13	13
OG0001372	14	6
OG0001373	13	13
OG0001374	15	15
OG0001375	3	3
OG0001376	13	13
OG0001377	13	13
OG0001378	13	13
OG0001379	13	13
OG0001380	13	13
OG0001381	15	15
OG0001382	13	13
OG0001383	13	13
OG0001384	13	13
OG0001385	14	14
OG0001386	13	12
OG0001387	13	13
OG0001388	13	13
OG0001389	11	9
OG0001390	13	13
OG0001391	13	13
