Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia	Total
OG0000059	22	37	1	0	0	14	3	0	0	0	0	3	9	7	0	4	0	0	11	0	0	111
OG0000060	2	4	1	8	1	5	5	2	4	11	2	10	10	8	3	7	7	4	6	7	4	111
OG0000061	11	6	8	3	9	1	2	5	3	2	4	16	3	2	3	12	6	3	3	2	5	109
OG0000062	1	9	7	5	4	12	4	1	6	5	5	8	3	6	5	6	6	3	1	8	4	109
OG0000063	18	2	0	0	0	18	1	0	3	0	1	15	1	7	0	12	12	1	16	2	0	109
OG0000064	0	0	0	7	9	0	28	0	0	8	23	4	0	0	0	4	5	5	12	0	4	109
OG0000065	2	5	2	1	5	8	4	6	3	4	2	3	1	13	3	2	5	5	20	8	6	108
OG0000066	37	1	0	1	0	1	10	1	1	0	0	4	17	4	2	1	2	5	11	9	0	107
OG0000067	5	6	5	5	5	3	5	4	5	5	5	6	5	4	5	5	6	5	6	4	6	105
OG0000068	41	2	0	0	0	13	0	1	0	0	0	0	0	19	0	0	0	0	25	4	0	105
OG0000069	1	0	0	4	4	1	12	0	2	3	6	8	3	24	5	4	4	2	19	1	2	105
OG0000070	0	0	0	1	9	1	2	0	3	3	3	2	4	25	11	3	2	12	7	0	17	105
OG0000071	30	16	0	0	0	10	0	0	4	0	1	5	1	9	0	3	2	3	19	1	0	104
OG0000072	13	0	0	0	0	1	1	1	2	0	2	9	2	16	0	15	8	2	24	6	0	102
OG0000073	0	15	12	4	10	2	2	6	1	4	3	7	5	4	2	5	4	1	6	8	1	102
OG0000074	55	1	1	1	2	1	1	1	2	3	2	5	1	2	1	2	2	7	5	2	2	99
OG0000075	5	0	0	0	0	2	0	0	10	0	6	23	2	0	1	3	1	7	32	4	3	99
OG0000076	12	0	0	0	5	5	1	0	1	5	16	14	10	3	2	14	4	0	6	1	0	99
OG0000077	7	5	3	2	2	3	7	3	2	2	3	3	2	3	3	2	3	3	30	4	6	98
OG0000078	0	0	0	5	7	3	2	0	2	9	4	4	12	6	7	2	5	3	23	0	4	98
OG0000079	2	1	3	5	11	2	1	0	6	7	4	8	4	1	1	1	1	3	5	26	5	97
OG0000080	5	1	5	3	3	9	3	3	3	4	3	7	6	4	13	5	2	6	5	5	2	97
OG0000081	2	0	0	7	16	0	5	0	2	1	1	7	2	4	5	9	7	5	18	1	5	97
OG0000082	0	10	4	5	6	2	3	6	4	3	4	3	4	2	3	10	8	3	10	2	4	96
OG0000083	0	0	0	0	0	0	14	0	6	0	1	0	0	15	0	23	10	7	20	0	0	96
OG0000084	3	3	3	4	4	15	4	3	3	4	4	3	4	6	4	4	5	2	5	9	3	95
OG0000085	5	8	5	1	9	5	2	1	2	3	2	10	5	4	4	4	3	5	2	10	5	95
OG0000086	8	11	8	3	2	3	3	9	2	4	2	3	2	4	1	1	2	1	10	11	4	94
OG0000087	6	6	7	2	8	3	4	7	6	4	4	2	3	5	3	3	3	5	2	9	2	94
OG0000088	71	1	1	3	1	2	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	94
OG0000089	0	1	2	3	6	0	6	2	5	8	8	7	4	15	4	4	4	2	4	7	2	94
OG0000090	0	0	0	0	3	0	0	0	10	1	4	7	0	3	12	2	3	10	38	0	1	94
OG0000091	8	1	4	2	4	6	3	18	3	1	2	6	2	5	3	2	3	2	3	14	1	93
OG0000092	1	3	7	5	8	1	5	1	4	6	5	5	5	3	4	7	7	4	5	2	5	93
OG0000093	2	0	0	0	3	15	4	0	6	2	5	4	3	14	2	0	2	8	22	1	0	93
OG0000094	1	6	9	4	3	3	6	6	3	3	3	2	2	7	5	4	5	4	5	6	5	92
OG0000095	0	1	3	1	1	5	7	0	2	1	1	0	2	15	3	1	1	18	12	8	10	92
OG0000096	0	12	9	3	4	1	5	5	2	2	2	3	5	7	2	2	2	5	3	14	3	91
OG0000097	3	5	4	3	4	5	7	2	5	4	3	2	1	3	8	5	4	5	6	3	8	90
OG0000098	2	1	1	1	5	5	5	1	5	8	5	5	3	15	4	5	5	6	1	4	2	89
OG0000099	3	5	3	4	3	3	3	3	3	4	4	7	3	2	6	3	4	3	15	3	5	89
OG0000100	1	1	1	4	8	0	3	2	2	1	1	5	3	5	14	6	15	7	0	3	5	87
OG0000101	3	12	12	2	2	4	2	5	3	4	1	4	3	5	2	2	2	3	2	12	2	87
OG0000102	1	16	4	3	6	5	2	5	2	5	2	3	2	5	3	1	2	3	11	4	2	87
OG0000103	3	3	1	8	5	2	3	3	3	3	3	4	7	2	3	7	6	9	3	2	7	87
OG0000104	38	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2	9	0	2	87
OG0000105	16	0	0	0	0	0	0	0	0	0	0	0	2	20	0	4	0	0	44	1	0	87
OG0000106	0	0	0	1	2	0	3	0	1	2	2	7	6	4	2	8	2	8	4	0	35	87
OG0000107	38	0	0	1	3	0	2	0	1	1	1	3	2	0	2	4	2	6	17	2	1	86
OG0000108	6	7	6	3	1	16	4	1	1	2	1	5	1	6	1	2	1	4	1	14	3	86
OG0000109	1	1	1	4	2	1	5	2	1	7	8	1	5	5	14	4	5	4	2	2	11	86
OG0000110	0	2	1	3	5	4	4	3	2	2	2	2	2	1	3	4	2	2	12	27	3	86
OG0000111	0	1	1	2	2	7	10	1	2	2	3	4	1	13	3	10	5	2	5	9	2	85
OG0000112	1	6	2	2	6	2	5	1	2	7	2	7	6	2	5	3	2	5	1	3	14	84
OG0000113	5	15	7	2	2	3	3	11	3	2	2	2	4	6	2	2	2	3	3	3	2	84
OG0000114	0	14	15	1	2	6	1	8	3	1	2	1	1	5	2	4	3	2	6	6	1	84
OG0000115	7	1	1	4	3	3	5	1	5	4	2	3	7	11	2	2	4	4	5	7	2	83
OG0000116	0	1	1	4	14	0	3	0	2	2	2	3	8	8	8	4	9	5	3	1	5	83
OG0000117	2	6	2	6	2	3	6	2	2	2	2	6	2	4	12	5	5	3	3	5	2	82
OG0000118	29	14	2	0	0	2	1	1	0	0	0	0	0	3	0	1	1	6	12	10	0	82
OG0000119	2	4	0	4	5	1	6	0	3	2	1	7	5	8	4	5	5	4	9	1	6	82
OG0000120	4	1	1	6	9	1	13	2	3	3	2	5	3	0	10	8	1	7	1	1	1	82
OG0000121	22	9	1	0	0	2	0	0	0	0	0	0	0	4	0	1	1	1	36	5	0	82
OG0000122	4	3	3	2	4	5	4	4	4	4	4	3	1	4	8	2	4	4	4	6	4	81
OG0000123	1	11	1	7	6	2	7	1	2	5	6	1	2	2	1	11	2	9	1	1	2	81
OG0000124	4	8	1	4	1	3	6	2	1	2	1	1	8	1	8	13	11	3	1	1	1	81
OG0000125	2	1	1	2	3	3	10	2	4	8	7	1	6	4	4	8	4	1	3	5	2	81
OG0000126	1	1	2	2	6	2	5	2	1	5	1	8	9	2	1	6	7	4	6	1	9	81
OG0000127	6	7	6	5	7	4	4	2	3	3	3	2	1	3	3	2	2	4	5	3	5	80
OG0000128	40	0	0	0	2	1	0	0	1	0	3	2	0	6	0	1	0	0	23	0	0	79
OG0000129	3	7	1	5	8	1	3	1	1	1	1	7	6	2	2	8	8	2	5	5	2	79
OG0000130	2	2	3	6	7	2	6	2	3	2	4	4	5	1	3	5	5	5	3	3	6	79
OG0000131	3	5	3	3	3	2	3	2	5	4	5	6	3	6	5	4	3	3	3	4	3	78
OG0000132	2	11	3	6	2	3	2	6	2	2	2	4	7	3	4	4	4	3	3	2	3	78
OG0000133	2	4	4	10	7	4	3	1	2	2	2	3	6	4	4	4	4	2	5	2	3	78
OG0000134	19	8	2	4	3	9	3	6	2	2	2	3	2	0	2	4	3	0	1	2	1	78
OG0000135	6	9	2	3	3	5	2	2	4	4	3	4	2	2	6	3	3	5	3	5	2	78
OG0000136	0	11	2	6	6	2	2	4	3	6	2	2	6	1	4	4	2	1	8	2	4	78
OG0000137	8	4	1	5	6	1	3	2	2	2	3	3	4	1	4	6	6	2	6	6	2	77
OG0000138	4	2	1	2	3	2	5	1	2	2	2	2	9	2	2	8	10	5	1	3	9	77
OG0000139	1	1	1	1	2	4	1	1	1	2	2	5	1	8	6	1	1	3	29	4	2	77
OG0000140	5	5	4	3	4	8	4	0	3	2	3	10	2	1	1	1	6	1	1	11	2	77
OG0000141	1	2	2	3	3	3	7	3	4	3	3	2	3	4	2	5	12	4	2	2	7	77
OG0000142	0	0	0	2	6	0	4	0	2	3	2	2	13	3	3	6	13	1	17	0	0	77
OG0000143	2	5	2	6	6	3	4	1	2	4	2	6	4	4	2	8	4	3	2	1	4	75
OG0000144	0	8	6	3	3	5	2	7	2	3	4	2	2	7	3	1	2	3	2	8	2	75
OG0000145	0	1	1	4	2	3	3	1	2	3	2	8	10	2	3	4	5	7	3	1	10	75
OG0000146	1	4	5	2	3	6	3	3	3	5	3	5	2	3	5	4	3	3	4	3	4	74
OG0000147	1	2	3	1	7	1	7	1	3	2	4	5	3	2	1	9	8	5	3	1	5	74
OG0000148	63	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	3	3	0	74
OG0000149	3	6	1	2	3	3	6	2	2	4	2	4	3	3	1	4	7	4	7	1	6	74
OG0000150	4	4	1	6	6	4	10	1	1	1	2	7	2	3	2	1	1	4	5	3	6	74
OG0000151	1	1	1	7	6	3	5	1	3	2	2	1	7	1	8	5	4	5	1	2	7	73
OG0000152	1	1	2	6	6	1	5	1	1	6	6	7	5	10	1	1	8	1	2	1	1	73
OG0000153	1	10	3	1	3	5	5	2	1	2	1	1	3	3	11	5	6	6	1	2	1	73
OG0000154	7	9	5	1	2	7	1	8	1	2	1	1	2	4	1	1	1	4	3	10	2	73
OG0000155	10	0	0	0	1	1	0	0	0	0	0	0	0	9	0	22	15	1	0	5	9	73
OG0000156	1	2	1	4	1	1	6	1	1	1	5	1	10	5	16	1	1	6	5	3	1	73
OG0000157	0	9	4	2	2	1	2	6	2	2	2	2	2	14	2	6	6	1	2	3	3	73
OG0000158	0	3	0	3	1	1	5	1	4	2	4	11	4	6	2	6	5	4	4	1	6	73
OG0000159	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
OG0000160	12	4	2	1	1	3	5	3	3	5	2	3	2	3	6	2	3	2	2	2	6	72
OG0000161	8	1	4	2	3	1	5	2	1	6	4	1	2	11	3	2	1	1	3	8	3	72
OG0000162	5	3	4	6	3	6	3	3	2	4	4	2	2	6	3	2	2	2	2	5	3	72
OG0000163	13	1	0	0	0	9	6	0	0	0	0	0	0	1	0	2	1	0	30	9	0	72
OG0000164	1	7	2	2	3	3	2	5	3	3	2	3	3	8	3	4	2	6	2	6	2	72
OG0000165	2	4	2	5	3	3	6	2	2	4	2	4	3	1	2	3	4	2	5	2	11	72
OG0000166	3	4	5	6	3	1	5	1	1	1	5	4	0	4	5	3	4	5	4	2	6	72
OG0000167	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	69	0	2	72
OG0000168	4	3	6	5	5	5	3	4	5	3	5	4	2	2	2	3	1	2	1	4	2	71
OG0000169	2	1	0	4	4	13	2	0	3	6	2	5	6	0	5	2	2	3	3	6	2	71
OG0000170	2	2	1	3	4	2	6	0	3	1	3	4	4	6	5	4	5	5	5	2	4	71
OG0000171	1	8	8	1	2	3	3	7	2	2	4	2	2	4	4	2	2	2	6	2	4	71
OG0000172	0	0	0	3	8	0	2	0	1	8	5	11	1	1	6	7	10	5	1	0	2	71
OG0000173	1	2	1	2	4	1	4	1	6	2	2	1	4	3	10	6	6	4	5	1	4	70
OG0000174	7	2	1	1	6	2	9	3	1	4	1	6	3	1	3	5	3	3	7	1	1	70
OG0000175	2	1	2	6	4	1	3	1	2	4	5	4	7	0	6	3	4	5	3	2	5	70
OG0000176	14	1	0	1	2	19	1	1	1	1	1	3	5	1	1	2	3	2	1	5	4	69
OG0000177	3	4	3	4	3	3	3	3	3	3	3	3	3	3	5	4	4	2	2	5	3	69
OG0000178	0	2	1	42	2	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	69
OG0000179	3	2	2	3	5	3	3	2	2	4	3	3	2	4	8	3	4	3	3	2	4	68
OG0000180	1	4	3	5	6	1	1	1	4	3	3	5	4	2	6	3	3	3	4	2	4	68
OG0000181	2	1	1	3	4	2	4	0	1	2	1	1	4	4	5	8	7	6	6	2	4	68
OG0000182	1	0	0	1	3	1	4	1	1	2	1	3	4	14	1	8	4	5	6	1	7	68
OG0000183	2	6	3	3	4	3	5	3	2	2	2	2	2	5	6	2	3	2	3	3	5	68
OG0000184	1	4	1	2	0	1	1	3	1	1	1	1	5	31	1	2	4	0	3	5	0	68
OG0000185	1	1	1	2	6	0	2	1	3	3	3	8	3	4	4	5	2	4	6	1	8	68
OG0000186	0	3	1	1	4	0	17	1	4	2	2	3	1	2	1	3	3	2	8	3	7	68
